state,municipality,county,population,latitude,longitude
MO,Woodson Terrace city,St. Louis County,3871,38.728606,-90.360035
MO,Wooldridge village,Cooper County,30,38.906565,-92.521401
MO,Worth village,Worth County,62,40.404522,-94.446506
MO,Worthington village,Putnam County,60,40.408501,-92.689255
MO,Wright City city,Warren County,5354,38.832191,-91.035622
MO,Wyaconda city,Clark County,209,40.392187,-91.926118
MO,Wyatt city,Mississippi County,214,36.960331,-89.169548
MS,Abbeville town,Lafayette County,385,34.503392,-89.502517
MS,Aberdeen city,Monroe County,4860,33.828299,-88.554741
MS,Ackerman town,Choctaw County,1565,33.310649,-89.170247
MS,Algoma town,Pontotoc County,708,34.179537,-89.03807
MS,Alligator town,Bolivar County,107,34.089802,-90.722646
MS,Amory city,Monroe County,6422,33.981846,-88.482607
MS,Anguilla town,Sharkey County,486,32.971869,-90.828259
MS,Arcola town,Washington County,287,33.27054,-90.880002
MS,Artesia town,Lowndes County,320,33.416711,-88.642298
MS,Ashland town,Benton County,528,34.834119,-89.177741
MS,Baldwyn city,Prentiss County,3066,34.505494,-88.642788
MS,Bassfield town,Jefferson Davis County,180,31.495955,-89.744932
MS,Batesville city,Panola County,7330,34.320982,-89.924878
MS,Bay Springs city,Jasper County,1599,31.978001,-89.27961
MS,Bay St. Louis city,Hancock County,10511,30.323448,-89.35879
MS,Beaumont town,Perry County,660,31.167543,-88.928356
MS,Beauregard village,Copiah County,289,31.717793,-90.388687
MS,Belmont town,Tishomingo County,1815,34.505035,-88.208306
MS,Belzoni city,Humphreys County,1764,33.180498,-90.486286
MS,Benoit town,Bolivar County,345,33.651595,-91.008741
MS,Bentonia town,Yazoo County,304,32.643598,-90.369193
MS,Beulah town,Bolivar County,237,33.790471,-90.980138
MS,Big Creek village,Calhoun County,128,33.846392,-89.415895
MS,Biloxi city,Harrison County,48235,30.426663,-88.935762
MS,Blue Mountain town,Tippah County,926,34.673885,-89.026184
MS,Blue Springs village,Union County,439,34.392778,-88.883267
MS,Bolton town,Hinds County,421,32.354611,-90.458584
MS,Booneville city,Prentiss County,9081,34.664418,-88.567991
MS,Boyle town,Bolivar County,497,33.706475,-90.724872
MS,Brandon city,Rankin County,25719,32.278093,-89.990686
MS,Braxton village,Simpson County,181,32.026391,-89.97153
MS,Brookhaven city,Lincoln County,11571,31.580567,-90.443386
MS,Brooksville town,Noxubee County,885,33.236701,-88.578141
MS,Bruce town,Calhoun County,1608,33.990906,-89.345464
MS,Bude town,Franklin County,783,31.462447,-90.85228
MS,Burnsville town,Tishomingo County,845,34.832032,-88.318699
MS,Byhalia town,Marshall County,1357,34.869188,-89.689993
MS,Byram city,Hinds County,12651,32.192137,-90.286965
MS,Caledonia town,Lowndes County,1115,33.683607,-88.326024
MS,Calhoun City town,Calhoun County,1482,33.859347,-89.314623
MS,Canton city,Madison County,10742,32.598419,-90.032191
MS,Carrollton town,Carroll County,423,33.505647,-89.921812
MS,Carthage city,Leake County,4821,32.744227,-89.533452
MS,Cary town,Sharkey County,238,32.805642,-90.924612
MS,Centreville town,Wilkinson County,1168,31.087019,-91.06544
MS,Charleston city,Tallahatchie County,1722,34.007653,-90.055166
MS,Chunky town,Newton County,269,32.327488,-88.930172
MS,Clarksdale city,Coahoma County,13850,34.193796,-90.568598
MS,Cleveland city,Bolivar County,10401,33.744008,-90.728476
MS,Clinton city,Hinds County,26698,32.354443,-90.341893
MS,Coahoma town,Coahoma County,219,34.366293,-90.522019
MS,Coffeeville town,Yalobusha County,776,33.976494,-89.684482
MS,Coldwater town,Tate County,1339,34.690376,-89.975517
MS,Collins city,Covington County,2271,31.648272,-89.567581
MS,Columbia city,Marion County,5727,31.256909,-89.825443
MS,Columbus city,Lowndes County,23035,33.508208,-88.407128
MS,Como town,Panola County,1075,34.513561,-89.939947
