state,county,cbsa_code,cbsa_title,cbsa_population
GA,Coweta County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Crawford County,31420,"Macon-Bibb County, GA",236074
GA,Dade County,16860,"Chattanooga, TN-GA",580971
GA,Dawson County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,DeKalb County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Dougherty County,10500,"Albany, GA",145508
GA,Douglas County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Echols County,46660,"Valdosta, GA",151118
GA,Effingham County,42340,"Savannah, GA",424935
GA,Fayette County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Floyd County,40660,"Rome, GA",100113
GA,Forsyth County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Fulton County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Glynn County,15260,"Brunswick-St. Simons, GA",116074
GA,Gwinnett County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Hall County,23580,"Gainesville, GA",217267
GA,Haralson County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Harris County,17980,"Columbus, GA-AL",323768
GA,Heard County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Henry County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Houston County,47580,"Warner Robins, GA",200779
GA,Jasper County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Jones County,31420,"Macon-Bibb County, GA",236074
GA,Lanier County,46660,"Valdosta, GA",151118
GA,Lee County,10500,"Albany, GA",145508
GA,Liberty County,25980,"Hinesville, GA",88804
GA,Lincoln County,12260,"Augusta-Richmond County, GA-SC",629429
GA,Long County,25980,"Hinesville, GA",88804
GA,Lowndes County,46660,"Valdosta, GA",151118
GA,Lumpkin County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Madison County,12020,"Athens-Clarke County, GA",222060
GA,Marion County,17980,"Columbus, GA-AL",323768
GA,McDuffie County,12260,"Augusta-Richmond County, GA-SC",629429
GA,McIntosh County,15260,"Brunswick-St. Simons, GA",116074
GA,Meriwether County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Monroe County,31420,"Macon-Bibb County, GA",236074
GA,Morgan County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Murray County,19140,"Dalton, GA",144722
GA,Muscogee County,17980,"Columbus, GA-AL",323768
GA,Newton County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Oconee County,12020,"Athens-Clarke County, GA",222060
